,task,model,test_accuracy,test_f1_score
0,ProximityRecognition,lstm,0.6700±0.0330,0.6697±0.0340
1,ProximityRecognition,mlp,0.7705±0.0069,0.7696±0.0066
2,ProximityRecognition,patchtst,0.7925±0.0072,0.7924±0.0071
3,ProximityRecognition,resnet18,0.8203±0.0132,0.8199±0.0135
4,ProximityRecognition,timesformer1d,0.7523±0.0063,0.7520±0.0057
5,ProximityRecognition,transformer,0.7752±0.0313,0.7735±0.0324
6,ProximityRecognition,vit,0.7705±0.0192,0.7701±0.0190
7,HumanActivityRecognition,lstm,0.7346±0.0448,0.7218±0.0530
8,HumanActivityRecognition,mlp,0.8411±0.0077,0.8377±0.0088
9,HumanActivityRecognition,patchtst,0.8566±0.0256,0.8558±0.0281
10,HumanActivityRecognition,resnet18,0.8463±0.0099,0.8427±0.0096
11,HumanActivityRecognition,timesformer1d,0.8140±0.0205,0.8082±0.0253
12,HumanActivityRecognition,transformer,0.7540±0.0093,0.7549±0.0073
13,HumanActivityRecognition,vit,0.8337±0.0190,0.8307±0.0200
14,HumanIdentification,lstm,0.9957±0.0020,0.9957±0.0020
15,HumanIdentification,mlp,0.9996±0.0003,0.9996±0.0003
16,HumanIdentification,patchtst,0.9997±0.0003,0.9997±0.0003
17,HumanIdentification,resnet18,1.0000±0.0000,1.0000±0.0000
18,HumanIdentification,timesformer1d,0.9949±0.0017,0.9949±0.0017
19,HumanIdentification,transformer,0.9951±0.0032,0.9951±0.0032
20,HumanIdentification,vit,0.9944±0.0033,0.9943±0.0033
