,task,model,test_cross_device_accuracy,test_cross_device_f1_score,test_cross_env_accuracy,test_cross_env_f1_score,test_cross_user_accuracy,test_cross_user_f1_score
0,ProximityRecognition,lstm,0.2489±0.0297,0.2429±0.0302,0.2864±0.0108,0.2676±0.0102,0.2920±0.0055,0.2383±0.0134
1,ProximityRecognition,mlp,0.2873±0.0089,0.2731±0.0084,0.2576±0.0077,0.2086±0.0141,0.2619±0.0057,0.1732±0.0074
2,ProximityRecognition,patchtst,0.2813±0.0217,0.2660±0.0138,0.2642±0.0188,0.2535±0.0163,0.2886±0.0067,0.2315±0.0076
3,ProximityRecognition,resnet18,0.3119±0.0581,0.2793±0.0495,0.3067±0.0306,0.2801±0.0378,0.3267±0.0150,0.2764±0.0253
4,ProximityRecognition,timesformer1d,0.2795±0.0204,0.2585±0.0267,0.2973±0.0299,0.2793±0.0397,0.3119±0.0087,0.2698±0.0148
5,ProximityRecognition,transformer,0.3110±0.0235,0.2904±0.0244,0.3052±0.0199,0.2882±0.0132,0.3016±0.0097,0.2455±0.0291
6,ProximityRecognition,vit,0.3204±0.0290,0.3064±0.0244,0.2801±0.0169,0.2719±0.0170,0.3009±0.0116,0.2403±0.0197
7,HumanActivityRecognition,lstm,0.4108±0.0180,0.3939±0.0070,0.4273±0.0351,0.3738±0.0130,0.5504±0.0078,0.4648±0.0195
8,HumanActivityRecognition,mlp,0.3780±0.0168,0.3635±0.0123,0.3260±0.0092,0.3248±0.0087,0.4876±0.0059,0.4048±0.0063
9,HumanActivityRecognition,patchtst,0.2989±0.0161,0.3075±0.0114,0.3742±0.0136,0.3353±0.0032,0.4975±0.0200,0.4296±0.0168
10,HumanActivityRecognition,resnet18,0.3040±0.0491,0.3134±0.0633,0.3667±0.0308,0.3420±0.0151,0.4992±0.0173,0.4045±0.0091
11,HumanActivityRecognition,timesformer1d,0.3444±0.0170,0.3466±0.0146,0.3637±0.0058,0.3482±0.0086,0.5197±0.0213,0.4361±0.0152
12,HumanActivityRecognition,transformer,0.3077±0.0204,0.3258±0.0210,0.3648±0.0291,0.3604±0.0170,0.5571±0.0126,0.4898±0.0080
13,HumanActivityRecognition,vit,0.3143±0.0311,0.3251±0.0186,0.3353±0.0429,0.3254±0.0222,0.5150±0.0161,0.4333±0.0176
14,HumanIdentification,lstm,0.5302±0.0493,0.4941±0.0627,--,--,--,--
15,HumanIdentification,mlp,0.4167±0.0065,0.3554±0.0104,--,--,--,--
16,HumanIdentification,patchtst,0.3025±0.0650,0.2463±0.0459,--,--,--,--
17,HumanIdentification,resnet18,0.3663±0.0790,0.3047±0.0693,--,--,--,--
18,HumanIdentification,timesformer1d,0.2876±0.0531,0.2897±0.0529,--,--,--,--
19,HumanIdentification,transformer,0.3121±0.0265,0.2926±0.0382,--,--,--,--
20,HumanIdentification,vit,0.3735±0.0357,0.3632±0.0579,--,--,--,--
