,task,model,test_accuracy,test_f1_score
0,MotionSourceRecognitionUpdated,lstm,0.9818±0.0030,0.9819±0.0030
1,MotionSourceRecognitionUpdated,mlp,0.9884±0.0009,0.9884±0.0009
2,MotionSourceRecognitionUpdated,patchtst,0.9829±0.0034,0.9830±0.0034
3,MotionSourceRecognitionUpdated,resnet18,0.9969±0.0006,0.9969±0.0006
4,MotionSourceRecognitionUpdated,timesformer1d,0.9818±0.0011,0.9818±0.0011
5,MotionSourceRecognitionUpdated,transformer,0.9852±0.0025,0.9852±0.0025
6,MotionSourceRecognitionUpdated,vit,0.9893±0.0018,0.9893±0.0018
7,FallDetection,lstm,0.9493±0.0051,0.9492±0.0050
8,FallDetection,mlp,0.9216±0.0091,0.9217±0.0092
9,FallDetection,patchtst,0.9403±0.0074,0.9403±0.0073
10,FallDetection,resnet18,0.9488±0.0026,0.9489±0.0026
11,FallDetection,timesformer1d,0.9386±0.0116,0.9387±0.0113
12,FallDetection,transformer,0.9428±0.0072,0.9426±0.0072
13,FallDetection,vit,0.9478±0.0058,0.9477±0.0058
14,BreathingDetection_Subset,lstm,0.9862±0.0017,0.9862±0.0017
15,BreathingDetection_Subset,mlp,0.9759±0.0008,0.9759±0.0008
16,BreathingDetection_Subset,patchtst,0.9884±0.0013,0.9884±0.0013
17,BreathingDetection_Subset,resnet18,0.9858±0.0017,0.9858±0.0017
18,BreathingDetection_Subset,timesformer1d,0.9868±0.0021,0.9868±0.0021
19,BreathingDetection_Subset,transformer,0.9773±0.0031,0.9774±0.0031
20,BreathingDetection_Subset,vit,0.9938±0.0006,0.9938±0.0006
21,Localization,lstm,0.9912±0.0027,0.9912±0.0026
22,Localization,mlp,0.8714±0.0080,0.8690±0.0083
23,Localization,patchtst,0.9991±0.0010,0.9991±0.0010
24,Localization,resnet18,1.0000±0.0000,1.0000±0.0000
25,Localization,timesformer1d,1.0000±0.0000,1.0000±0.0000
26,Localization,transformer,0.9927±0.0022,0.9927±0.0022
27,Localization,vit,0.9968±0.0019,0.9968±0.0019
