pipeline,task_name,model_name,experiment_id,learning_rate,weight_decay,batch_size,seed,test_hard_loss,test_hard_accuracy,test_hard_f1_score,test_loss,test_accuracy,test_f1_score,test_easy_loss,test_easy_accuracy,test_easy_f1_score,test_medium_loss,test_medium_accuracy,test_medium_f1_score,test_cross_device_loss,test_cross_device_accuracy,test_cross_device_f1_score,test_cross_env_loss,test_cross_env_accuracy,test_cross_env_f1_score,test_cross_user_loss,test_cross_user_accuracy,test_cross_user_f1_score
supervised,MotionSourceRecognitionUpdated,mlp,params_3eba2706,0.001,1e-05,128,11,0.057538020615801926,0.9805389221556886,0.9804974275957752,0.03241709276955883,0.9888292629503888,0.9888320098541077,0.04478606460038963,0.9791907514450867,0.9819415266036896,0.02266916949239218,0.9928137975087832,0.9928193735832298,,,,,,,,,
supervised,MotionSourceRecognitionUpdated,mlp,params_a56bbd55,0.001,1e-05,128,3,0.04213742570190406,0.9840319361277445,0.9840010507903351,0.03432341941149767,0.9885007118606943,0.9885128162752373,0.03548365259171472,0.9838150289017341,0.9838377927740685,0.03166244721372651,0.9905780900670712,0.9906059861524117,,,,,,,,,
supervised,MotionSourceRecognitionUpdated,mlp,params_d4700539,0.001,1e-05,128,99,0.053438130179719864,0.9775449101796407,0.9775375119479711,0.034804323435312666,0.9870769904720184,0.9870864294726668,0.03118955200517263,0.9849710982658959,0.9850093798478164,0.02934035565137009,0.9904183966783775,0.9904371541020834,,,,,,,,,
supervised,MotionSourceRecognitionUpdated,mlp,params_fc13ed90,0.001,1e-05,128,42,0.04719184492664853,0.9855289421157685,0.9855154221958314,0.03316489397927014,0.989048297010185,0.9890596998531999,0.05228839161912803,0.9803468208092485,0.9809648161837835,0.0260342896049254,0.9913765570105397,0.9913932281987968,,,,,,,,,
supervised,MotionSourceRecognitionUpdated,lstm,params_58ba7f06,0.001,1e-05,128,99,0.0998680116227078,0.970558882235529,0.9706284783468871,0.06829286378221858,0.9810535538276202,0.9810552050627197,0.11007921789568241,0.9630057803468208,0.9685214315125268,0.05241586635367976,0.9869051421271159,0.9869005744786883,,,,,,,,,
supervised,MotionSourceRecognitionUpdated,lstm,params_5b561c0c,0.001,1e-05,128,42,0.0782600443161321,0.9800399201596807,0.9800710019343237,0.06834633269759079,0.9862008542328332,0.9862068527823353,0.1210449397117956,0.976878612716763,0.9780635782038464,0.05789417967074515,0.9894602363462153,0.989464946751926,,,,,,,,,
supervised,MotionSourceRecognitionUpdated,lstm,params_8db9f297,0.001,1e-05,128,3,0.09732564600526603,0.9700598802395209,0.9699771701173672,0.06686086643853584,0.9807250027379257,0.9807294316005015,0.13743100794990457,0.9549132947976878,0.959754931836588,0.047363168250172095,0.9877036090705845,0.9877120998544658,,,,,,,,,
supervised,MotionSourceRecognitionUpdated,lstm,params_99c3b783,0.001,1e-05,128,11,0.1310235758585309,0.9570858283433133,0.9569922524305969,0.06450910134990373,0.9794107983791479,0.9794212163995792,0.10678352117269284,0.9710982658959537,0.9732843607862623,0.03738319922725815,0.9877036090705845,0.9877277922054252,,,,,,,,,
supervised,MotionSourceRecognitionUpdated,resnet18,params_9b93ff60,0.001,1e-05,128,3,0.013557955083206525,0.9970059880239521,0.9970059880239521,0.009591087659057347,0.9974811083123426,0.9974816880156927,0.0007623281024711094,1.0,1.0,0.009541147083768868,0.9972852123922069,0.9972867140499995,,,,,,,,,
supervised,MotionSourceRecognitionUpdated,resnet18,params_c6be176d,0.001,1e-05,128,42,0.015739978070811417,0.9960079840319361,0.9960022862783766,0.009351141101985077,0.9970430401927499,0.9970414978462067,0.005639406408822047,0.9988439306358381,0.9988441118308328,0.007819269169258809,0.9971255190035132,0.9971243630013137,,,,,,,,,
