,task,model,test_accuracy,test_f1_score
0,MotionSourceRecognition,lstm,0.9842±0.0019,0.9842±0.0019
1,MotionSourceRecognition,mlp,0.9886±0.0007,0.9886±0.0007
2,MotionSourceRecognition,patchtst,0.9886±0.0019,0.9886±0.0019
3,MotionSourceRecognition,resnet18,0.9956±0.0007,0.9956±0.0007
4,MotionSourceRecognition,timesformer1d,0.9838±0.0017,0.9839±0.0017
5,MotionSourceRecognition,transformer,0.9861±0.0027,0.9861±0.0027
6,MotionSourceRecognition,vit,0.9898±0.0015,0.9898±0.0015
7,FallDetection,lstm,0.9493±0.0051,0.9492±0.0050
8,FallDetection,mlp,0.9216±0.0091,0.9217±0.0092
9,FallDetection,patchtst,0.9403±0.0074,0.9403±0.0073
10,FallDetection,resnet18,0.9488±0.0026,0.9489±0.0026
11,FallDetection,timesformer1d,0.9386±0.0116,0.9387±0.0113
12,FallDetection,transformer,0.9428±0.0072,0.9426±0.0072
13,FallDetection,vit,0.9478±0.0058,0.9477±0.0058
14,Localization,lstm,0.9912±0.0027,0.9912±0.0026
15,Localization,mlp,0.8714±0.0080,0.8690±0.0083
16,Localization,patchtst,0.9991±0.0010,0.9991±0.0010
17,Localization,resnet18,1.0000±0.0000,1.0000±0.0000
18,Localization,timesformer1d,1.0000±0.0000,1.0000±0.0000
19,Localization,transformer,0.9927±0.0022,0.9927±0.0022
20,Localization,vit,0.9968±0.0019,0.9968±0.0019
